ше 0,003 0,0025163924082332242
ши 0,002 0,0019017746957224104
шн 0,001 0,00044145307405295796
шь 0,001 0,0005771262995336317
ща 0,001 0,000539418006034021
ще 0,004 0,0021305475001309956
щё 0,001 4,798361069556803E-05
щи 0,001 0,0013035386920057146
ыв 0,003 0,0013320367926528513
ыд 0,002 0,00018523524442280652
ые 0,002 0,0021177901058450207
ый 0,002 0,0021052158551113187
ым 0,002 0,0018633892530361055
ыт 0,001 0,0008756767973582911
ых 0,003 0,0024186684546104154
ьд 0,001 7,5565993581339E-05
ьк 0,002 0,001252256087585647
ьн 0,003 0,002856728553379155
ьс 0,001 0,001339591464184119
эт 0,004 0,002748411191127493
юд 0,001 0,000497147992212659
юс 0,001 0,0001806903925861331
ют 0,001 0,0011322801923616492
юч 0,001 0,00024824626553910387
яв 0,001 0,0005785842186010694
яе 0,001 0,00042534367080366745
яж 0,001 0,0001861557817513374
яз 0,001 0,00048563404625527536
ям 0,001 0,0006409156807470899
ят 0,001 0,0019909439176271967
яю 0,001 0,00028144585395577926
